Entity,Annual_CO2_emissions,GDP_PPP,Population,Code,Continent
Afghanistan,12160286,76710641664,39074280,AFG,Asia
Albania,4534673,37436768256,2877239,ALB,Europe
Algeria,154995460,4.71E+11,43984569,DZA,Africa
Andorra,466294,,77287,AND,Europe
Angola,22198161,2.01E+11,33032075,AGO,Africa
Anguilla,123426,,15026,AIA,North America
Antigua and Barbuda,430410,1693498496,98069,ATG,North America
Argentina,156978063,8.93E+11,45267449,ARG,South America
Armenia,5890292,37395693568,2964219,ARM,Asia
Aruba,753218,,106845,ABW,North America
Australia,391891928,1.25E+12,25550683,AUS,Oceania
Austria,60634876,4.62E+11,9015361,AUT,Europe
Azerbaijan,37720462,1.39E+11,10154978,AZE,Asia
Bahamas,2337684,12130357248,393893,BHS,North America
Bahrain,34960075,70582648832,1711057,BHR,Asia
Bangladesh,92841625,8.02E+11,164972348,BGD,Asia
Barbados,1086743,3636795136,287437,BRB,North America
Belarus,57445417,1.8E+11,9448772,BLR,Europe
Belgium,83748962,5.63E+11,11598451,BEL,Europe
Belize,582795,2434173440,398845,BLZ,North America
Benin,6702765,40287137792,12175480,BEN,Africa
Bermuda,624448,4896665088,62237,BMU,North America
Bhutan,1925367,8141626880,773069,BTN,Asia
Bosnia and Herzegovina,21417961,47602216960,3277152,BIH,Europe
Botswana,6518934,34462244864,2359585,BWA,Africa
Brazil,467383500,2.99E+12,212821986,BRA,South America
Bulgaria,37444110,1.55E+11,6939018,BGR,Europe
Burkina Faso,3969636,45062647808,20997293,BFA,Africa
Burundi,602181,8692913152,11948454,BDI,Africa
Cambodia,15325618,70078676992,16758448,KHM,Asia
Cameroon,6889318,97328037888,26655083,CMR,Africa
Canada,535822990,1.75E+12,37799407,CAN,North America
Cayman Islands,,4460494848,65854,CYM,North America
Central African Republic,187906,4522048000,4843954,CAF,Africa
Chad,912301,24951484416,16502877,TCD,Africa
Chile,81171490,4.46E+11,19144605,CHL,South America
China,10667887453,2.3E+13,1440297825,CHN,Asia
Colombia,89104941,6.84E+11,50976248,COL,South America
Comoros,258456,2599367680,872695,COM,Africa
Congo,3116760,18948900864,5540555,COG,Africa
Cook Islands,79423,,17567,COK,Oceania
Costa Rica,7907389,1.01E+11,5102158,CRI,North America
Croatia,16982010,1.1E+11,4100719,HRV,Europe
Cuba,20152280,,11325391,CUB,North America
Cyprus,6496162,34705469440,1208886,CYP,Asia
Denmark,26194912,3.26E+11,5795780,DNK,Europe
Djibouti,351464,5415352320,990447,DJI,Africa
Dominica,139250,740705856,72017,DMA,North America
Dominican Republic,27769310,1.84E+11,10866667,DOM,North America
Ecuador,30931763,1.82E+11,17688599,ECU,South America
Egypt,213456746,1.22E+12,102659126,EGY,Africa
El Salvador,6123716,51776917504,6491923,SLV,North America
Equatorial Guinea,10265267,23861442560,1410419,GNQ,Africa
Eritrea,722332,,3554797,ERI,Africa
Estonia,10452414,46873657344,1326693,EST,Europe
Ethiopia,14664773,2.64E+11,115434444,ETH,Africa
Fiji,1393413,10264956928,897573,FJI,Oceania
Finland,39287631,2.61E+11,5542237,FIN,Europe
France,276633893,2.85E+12,65298930,FRA,Europe
French Guiana,728379,,299958,GUF,South America
French Polynesia,828267,,281191,PYF,Oceania
Gabon,4298177,31874304000,2234448,GAB,Africa
Gambia,499912,5212151296,2427782,GMB,Africa
Georgia,9968094,51992666112,3987805,GEO,Asia
Germany,644310352,4.28E+12,83830972,DEU,Europe
Ghana,16001330,1.69E+11,31181428,GHA,Africa
Greece,52235141,2.9E+11,10413936,GRC,Europe
Greenland,514413,,56787,GRL,North America
Grenada,294834,1630235136,112614,GRD,North America
Guadeloupe,2561883,,400136,GLP,North America
Guatemala,18937908,1.41E+11,17971382,GTM,North America
Guinea,3394049,35075366912,13191279,GIN,Africa
Guinea-Bissau,286774,3635809024,1975718,GNB,Africa
Guyana,2212691,14692887552,787215,GUY,South America
Haiti,2919510,33457836032,11426356,HTI,North America
Honduras,9659570,50893692928,9931333,HND,North America
Hungary,48275451,3.03E+11,9655983,HUN,Europe
Iceland,2935990,19193749504,341628,ISL,Europe
India,2441792313,8.51E+12,1382345085,IND,Asia
Indonesia,589500368,3.13E+12,274021604,IDN,Asia
Iraq,210829146,3.63E+11,40372771,IRQ,Asia
Ireland,33348699,4.53E+11,4947267,IRL,Europe
Israel,56350861,3.6E+11,8678517,ISR,Asia
Italy,303815294,2.32E+12,60446035,ITA,Europe
Jamaica,7429454,25942788096,2963429,JAM,North America
Japan,1030775384,5.06E+12,126407422,JPN,Asia
Jordan,25487430,1E+11,10220604,JOR,Asia
Kazakhstan,291335929,4.76E+11,18815231,KAZ,Asia
Kenya,16146074,2.33E+11,53968739,KEN,Africa
Kiribati,68077,269887968,119760,KIR,Oceania
Kuwait,88935077,1.92E+11,4281320,KWT,Asia
Kyrgyzstan,11507817,31023828992,6542426,KGZ,Asia
Latvia,6772778,57204027392,1882408,LVA,Europe
Lebanon,25969298,78413512704,6819976,LBN,Asia
Lesotho,2183421,4963571712,2145194,LSO,Africa
Liberia,1008984,7040310784,5077411,LBR,Africa
Libya,50720577,70652575744,6887247,LBY,Africa
Liechtenstein,141012,,38147,LIE,Europe
Lithuania,13799480,1.04E+11,2715340,LTU,Europe
Luxembourg,8174648,70958268416,627704,LUX,Europe
Madagascar,3679618,40535912448,27808395,MDG,Africa
Malawi,1394983,28864096256,19211425,MWI,Africa
Malaysia,272607434,8.57E+11,32436963,MYS,Asia
Maldives,1796469,6888899584,542151,MDV,Asia
Mali,3390011,45076213760,20346106,MLI,Africa
Malta,1594903,20602818560,441750,MLT,Europe
Marshall Islands,151282,232765488,59259,MHL,Oceania
Martinique,2348393,,375213,MTQ,North America
Mauritania,3377180,23758856192,4669775,MRT,Africa
Mauritius,3979358,24635011072,1272140,MUS,Africa
Mayotte,305584,,273905,MYT,Africa
Mexico,356968119,2.3E+12,129166028,MEX,North America
Mongolia,88441761,38434279424,3287242,MNG,Asia
Montenegro,2309894,11344395264,628080,MNE,Europe
Montserrat,25318,,4993,MSR,North America
Morocco,64536253,2.62E+11,36985624,MAR,Africa
Mozambique,6570936,38442319872,31398811,MOZ,Africa
Myanmar,36325546,2.64E+11,54473253,MMR,Asia
Namibia,3877243,22397138944,2548663,NAM,Africa
Nauru,56731,147282736,10836,NRU,Oceania
Nepal,16957668,1.11E+11,29225196,NPL,Asia
Netherlands,138100074,9.47E+11,17141544,NLD,Europe
New Caledonia,8692686,,285972,NCL,Oceania
New Zealand,33475158,2.17E+11,4829021,NZL,Oceania
Nicaragua,5073650,34978304000,6638075,NIC,North America
Niger,1690423,29562836992,24346468,NER,Africa
Nigeria,125462961,1.01E+12,206984347,NGA,Africa
Niue,11346,,1628,NIU,Oceania
Norway,41283000,3.42E+11,5428594,NOR,Europe
Oman,62162570,1.51E+11,5128058,OMN,Asia
Pakistan,234754740,1.01E+12,221612785,PAK,Asia
Palau,219358,279942080,18109,PLW,Oceania
Panama,10779522,1.1E+11,4326296,PAN,North America
Papua New Guinea,6652121,36358320128,8975531,PNG,Oceania
Paraguay,7569706,88369102848,7147553,PRY,South America
Peru,44706055,3.71E+11,33050211,PER,South America
Philippines,136017950,8.72E+11,109830324,PHL,Asia
Poland,299592767,1.23E+12,37839255,POL,Europe
Portugal,40387817,3.29E+11,10191409,PRT,Europe
Puerto Rico,,1.07E+11,2846860,PRI,North America
Qatar,106654967,2.46E+11,2889284,QAT,Asia
Romania,71475046,5.56E+11,19214608,ROU,Europe
Rwanda,1032737,27182936064,13005303,RWA,Africa
Saint Lucia,439905,2212532480,183774,LCA,North America
Samoa,245833,1273153024,198643,WSM,Oceania
Saudi Arabia,625507882,1.54E+12,34905942,SAU,Asia
Senegal,10451209,55601160192,16816539,SEN,Africa
Serbia,43135397,1.26E+11,8731081,SRB,Europe
Seychelles,491067,2405201408,98453,SYC,Africa
Sierra Leone,877190,13060690944,8004158,SLE,Africa
Singapore,45503904,5.31E+11,5858322,SGP,Asia
Slovakia,30730385,1.67E+11,5460109,SVK,Europe
Slovenia,12562986,77895778304,2078989,SVN,Europe
Solomon Islands,298781,1705430144,689671,SLB,Oceania
Somalia,562143,18769350656,15965848,SOM,Africa
South Africa,451957087,7.51E+11,59436725,ZAF,Africa
South Sudan,1179207,,11216250,SSD,Africa
Spain,208914968,1.72E+12,46757980,ESP,Europe
Sri Lanka,21106254,2.75E+11,21428970,LKA,Asia
Sudan,18859244,1.72E+11,44019263,SDN,Africa
Suriname,2224178,9306685440,587541,SUR,South America
Sweden,38634794,5.27E+11,10110233,SWE,Europe
Switzerland,32298333,5.94E+11,8665615,CHE,Europe
Tajikistan,9447656,34884628480,9573310,TJK,Asia
Thailand,257765782,1.21E+12,69830779,THA,Asia
Togo,2191571,17450565632,8310934,TGO,Africa
Tonga,143718,670858816,105901,TON,Oceania
Trinidad and Tobago,35509414,33199394816,1400283,TTO,North America
Tunisia,28126702,1.21E+11,11839918,TUN,Africa
Turkey,392794051,2.39E+12,84495243,TUR,Asia
Turkmenistan,75337709,,6046292,TKM,Asia
Tuvalu,7564,52014548,11817,TUV,Oceania
Uganda,4892203,99488096256,45974931,UGA,Africa
Ukraine,213908873,5.17E+11,43686577,UKR,Europe
United Arab Emirates,150268152,6.26E+11,9910892,ARE,Asia
United States of America,4712770573,1.99E+13,331341050,USA,North America
Uruguay,5840060,75061788672,3475842,URY,South America
Uzbekistan,112784345,2.51E+11,33551824,UZB,Asia
Vanuatu,181538,876695936,308337,VUT,Oceania
Yemen,9768313,,29935468,YEM,Asia
Zambia,6572938,60259233792,18468257,ZMB,Africa
Zimbabwe,10531342,49841508352,14899771,ZWE,Africa
